"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_02","feel scared","sit down","bio","action","causation_second",0.59,0.57
"subj_02","see something","jump up and down","mind","action","causation_second",0.31,0.44
"subj_02","get tired","jump up and down","bio","action","causation_second",0.27,0.5
"subj_02","take a walk","jump up and down","action","action","causation_second",0.1,0.62
"subj_02","hear something","jump up and down","mind","action","causation_second",0.39,0.75
"subj_02","remember something","jump up and down","mind","action","causation_second",0.68,0.56
"subj_02","get sick","jump up and down","bio","action","causation_second",0.49,0.86
"subj_02","experience pain","jump up and down","bio","action","causation_second",0.17,0.31
"subj_02","choose what to do","jump up and down","mind","action","causation_second",0.23,0.53
"subj_02","reach for something","jump up and down","action","action","causation_second",0.26,0.6
"subj_02","sit down","jump up and down","action","action","causation_second",0.48,0.98
"subj_02","become hungry","jump up and down","bio","action","causation_second",0.43,0.55
"subj_02","think about something","jump up and down","mind","action","causation_second",0.74,0.48
"subj_02","kick something","jump up and down","action","action","causation_second",0.22,0.25
"subj_02","feel scared","jump up and down","bio","action","causation_second",0.21,0.24
"subj_02","see something","become hungry","mind","bio","causation_second",0.52,0.97
"subj_02","get tired","become hungry","bio","bio","causation_second",0.13,0.57
"subj_02","take a walk","become hungry","action","bio","causation_second",0.27,0.1
"subj_02","hear something","become hungry","mind","bio","causation_second",0.53,0.82
"subj_02","remember something","become hungry","mind","bio","causation_second",0.79,0.32
"subj_02","get sick","become hungry","bio","bio","causation_second",0.02,0.26
"subj_02","experience pain","become hungry","bio","bio","causation_second",0.63,0.59
"subj_02","choose what to do","become hungry","mind","bio","causation_second",0.74,0.92
"subj_02","reach for something","become hungry","action","bio","causation_second",0.65,0.75
"subj_02","sit down","become hungry","action","bio","causation_second",0.34,0.67
"subj_02","jump up and down","become hungry","action","bio","causation_second",0.43,0.36
"subj_02","think about something","become hungry","mind","bio","causation_second",0.94,0.39
"subj_02","kick something","become hungry","action","bio","causation_second",0.21,0.46
"subj_02","feel scared","become hungry","bio","bio","causation_second",0.32,0.74
"subj_02","see something","think about something","mind","mind","causation_second",0.37,0.35
"subj_02","get tired","think about something","bio","mind","causation_second",0.94,0.58
"subj_02","take a walk","think about something","action","mind","causation_second",0.72,0.6
"subj_02","hear something","think about something","mind","mind","causation_second",0.33,0.4
"subj_02","remember something","think about something","mind","mind","causation_second",0.09,0.09
"subj_02","get sick","think about something","bio","mind","causation_second",0.9,0.42
"subj_02","experience pain","think about something","bio","mind","causation_second",0.93,0.36
"subj_02","choose what to do","think about something","mind","mind","causation_second",0.67,0.11
"subj_02","reach for something","think about something","action","mind","causation_second",0.43,0.6
"subj_02","sit down","think about something","action","mind","causation_second",0.56,0.63
"subj_02","jump up and down","think about something","action","mind","causation_second",0.74,0.71
"subj_02","become hungry","think about something","bio","mind","causation_second",0.94,0.28
"subj_02","kick something","think about something","action","mind","causation_second",0.68,0.54
"subj_02","feel scared","think about something","bio","mind","causation_second",1,0.13
"subj_02","see something","kick something","mind","action","causation_second",0.23,0.77
"subj_02","get tired","kick something","bio","action","causation_second",0.19,0.86
"subj_02","take a walk","kick something","action","action","causation_second",0.05,0.42
"subj_02","hear something","kick something","mind","action","causation_second",0.26,0.74
"subj_02","remember something","kick something","mind","action","causation_second",0.55,0.56
"subj_02","get sick","kick something","bio","action","causation_second",0.23,0.58
"subj_02","experience pain","kick something","bio","action","causation_second",0.47,0.43
"subj_02","choose what to do","kick something","mind","action","causation_second",0.48,0.53
"subj_02","reach for something","kick something","action","action","causation_second",0.36,0.63
"subj_02","sit down","kick something","action","action","causation_second",0.2,0.87
"subj_02","jump up and down","kick something","action","action","causation_second",0.22,0.8
"subj_02","become hungry","kick something","bio","action","causation_second",0.21,0.92
"subj_02","think about something","kick something","mind","action","causation_second",0.68,0.7
"subj_02","feel scared","kick something","bio","action","causation_second",0.31,0.26
"subj_02","see something","feel scared","mind","bio","causation_second",0.55,0.25
"subj_02","get tired","feel scared","bio","bio","causation_second",0.11,0.44
"subj_02","take a walk","feel scared","action","bio","causation_second",0.21,0.35
"subj_02","hear something","feel scared","mind","bio","causation_second",0.61,0.25
"subj_02","remember something","feel scared","mind","bio","causation_second",0.91,0.24
"subj_02","get sick","feel scared","bio","bio","causation_second",0.42,0.17
"subj_02","experience pain","feel scared","bio","bio","causation_second",0.27,0.04
